code,city,state
101	,panaji,GOA
102	,Ahmedabad,GUJARAT
103	,Rajkot,GUJARAT
104	,Surat,GUJARAT
105	,Vadodara,GUJARAT
106	,Belgaum,KARNATAKA
107	,Akola,MAHARASHTRA
108	,Aurangabad,MAHARASHTRA
109	,Kolhapur,MAHARASHTRA
110	,Mumbai,MAHARASHTRA
111	,Nagpur,MAHARASHTRA
112	,Nashik,MAHARASHTRA
113	,Navi Mumbai,MAHARASHTRA
114	,Pune,MAHARASHTRA
115	,Ratnagiri,MAHARASHTRA
116	,Solapur,MAHARASHTRA
117	,Thane,MAHARASHTRA
118	,Ajmer ,RAJASTHAN
119	,Bikaner,RAJASTHAN
120	,Jaipur,RAJASTHAN
121	,Jodhpur,RAJASTHAN
200	,Delhi,DELHI
207	,Faridabad,HARYANA
208	,Gurgaon,HARYANA
209	,Jammu,JAMMU & KASHMIR
210	,Indore,MADHYA PRADESH
211	,Ujjain,MADHYA PRADESH
212	,Alwar,RAJASTHAN
213	,Sikar,RAJASTHAN
214	,Udaipur,RAJASTHAN
215	,Aligarh,UTTAR PRADESH
216	,Mathura,UTTAR PRADESH
217	,Dubai,UAE
301	,Itanagar,
302	,Dibrugarh,ASSAM
303	,Goalpara,ASSAM
304	,Guwahati,ASSAM
305	,Jorhat,ASSAM
306	,Silchar,ASSAM
307	,Tezpur,ASSAM
308	,Bhagalpur,BIHAR
309	,Gaya,BIHAR
310	,Katihar,BIHAR
311	,Muzaffarpur,BIHAR
312	,Patna,BIHAR
313	,Imphal,MANIPUR
314	,Shillong,MEGHALAYA
315	,Siliguri,WEST BENGAL
401	,Bhopal,MADHYA PRADESH
402	,Gwalior,MADHYA PRADESH
403	,Jabalpur,MADHYA PRADESH
404	,Nainital,UTTARAKHAND
405	,Pantnagar,UTTARAKHAND
406	,Agra,UTTAR PRADESH
407	,Allahabad,UTTAR PRADESH
408	,Gorakhpur,UTTAR PRADESH
409	,Jhansi,UTTAR PRADESH
410	,Kanpur,UTTAR PRADESH
411	,Lucknow,UTTAR PRADESH
412	,Raibareilly,UTTAR PRADESH
501	,Port Blair,Andaman & Nicobar Islands
502	,Vishakhapatnam,ANDHRA PRADESH
503	,Bhillai,CHATTISGARH
504	,Bilaspur,CHATTISGARH
505	,Raipur,CHATTISGARH
506	,Bokaro,JHARKHAND
507	,Dhanbad,JHARKHAND
508	,Jamshedpur,JHARKHAND
509	,Ranchi,JHARKHAND
510	,Balasore,ORISSA
511	,Berhampur,ORISSA
512	,Bhubaneswar,ORISSA
512	,Bhubaneswar,TRIPURA
513	,Cuttack,ORISSA
514	,Rourkela,ORISSA
514	,Rourkela,ORRISA
515	,Sambalpur,ORISSA
516	,Gangtok,SIKKIM
517	,Agartala ,TRIPURA
518	,Asansol,WEST BENGAL
519	,Burdwan,WEST BENGAL
520	,Belur,WEST BENGAL
521	,Durgapur,WEST BENGAL
522	,Kharagpur,WEST BENGAL
523	,Kolkata (North),WEST BENGAL
524	,Kolkata (Salt Lake),WEST BENGAL
525	,Kolkata (South),WEST BENGAL
526	,Malda,WEST BENGAL
601	,Guntur,ANDHRA PRADESH
602	,Hyderabad,ANDHRA PRADESH
603	,Kurnool,ANDHRA PRADESH
604	,Nellore,ANDHRA PRADESH
605	,Tirupathi,ANDHRA PRADESH
606	,Vijayawada,ANDHRA PRADESH
607	,Warangal,ANDHRA PRADESH
608	,Bangalore,KARNATAKA
609	,Mangalore,KARNATAKA
610	,Mysore,KARNATAKA
611	,Kochi,KERALA
612	,Kozhikode,KERALA
613	,Palakkad,KERALA
614	,Thiruvananthapuram,KERALA
615	,Thrissur,KERALA
616	,Puducherry,PUDUCHERRY
617	,Chennai,TAMIL NADU
618	,Coimbatore,TAMIL NADU
619	,Madurai,TAMIL NADU
620	,Salem,TAMIL NADU
621	,Tiruchirapalli,TAMIL NADU
622	,Tirunelveli,TAMIL NADU
701	,Chandigarh,CHANDIGARH
702	,Ambala,HARYANA
703	,Kurushetra,HARYANA
704	,Panipat,HARYANA
705	,Rohtak,HARYANA
706	,Sonipat,HARYANA
707	,Yamuna Nagar,HARYANA
708	,Mandi,HIMACHAL PRADESH
709	,Palampur,HIMACHAL PRADESH
710	,Shimla,HIMACHAL PRADESH
711	,Amritsar,PUNJAB
712	,Bathinda,PUNJAB
713	,Jalandhar,PUNJAB
714	,Ludhiana,PUNJAB
715	,Patiala,PUNJAB
716	,Dehradun,UTTARAKHAND
717	,Roorkee,UTTARAKHAND
718	,Bareilly,UTTAR PRADESH
719	,Gautam Budh Nagar (Noida),UTTAR PRADESH
720	,Ghaziabad,UTTAR PRADESH
721	,Meerut,UTTAR PRADESH
722	,Moradabad,UTTAR PRADESH
723	,Saharanpur,UTTAR PRADESH
723	,Saharanpur,UTTRAKHAND
724	,Varanasi,UTTAR PRADESH
