institute,branch,course,code
IIT bhubaneswar,Civil Engineering,Four-year B.Tech. Course,A4109
IIT Bhubaneswar,Electrical Engineering,Four-year B.Tech. Course,A4111
IIT Bhubaneswar,Mechanical Engineering,Four-year B.Tech. Course,A4125
IIT Bombay,Aerospace Engineering,Four-year B.Tech. Course,B4101
IIT Bombay,Chemical Engineering,Four-year B.Tech. Course,B4107
IIT Bombay,Civil Engineering,Four-year B.Tech. Course,B4109
IIT Bombay,Computer Science and Engineering,Four-year B.Tech. Course,B4110
IIT Bombay,Electrical Engineering,Four-year B.Tech. Course,B4111
IIT Bombay,Engineering Physics,Four-year B.Tech. Course,B4117
IIT Bombay,Mechanical Engineering,Four-year B.Tech. Course,B4125
IIT Bombay,Metallurgical Engineering and Materials Science,Four-year B.Tech. Course,B4128
IIT Bombay,Chemical Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,B5210
IIT Bombay,Electrical Engineering with M.Tech. in Communications and Signal Processing,Five-year B.Tech. and M.Tech. Dual Degree Course,B5219
IIT Bombay,Electrical Engineering with M.Tech. in Microelectronics,Five-year B.Tech. and M.Tech. Dual Degree Course,B5221
IIT Bombay,Energy Engineering with M.Tech. in Energy Systems Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,B5226
IIT Bombay,Engineering Physics with M.Tech. in Engineering Physics with specialization in Nano Science,Five-year B.Tech. and M.Tech. Dual Degree Course,B5229
IIT Bombay,Mechanical Engineering with M.Tech. in Computer Aided Design and Automation,Five-year B.Tech. and M.Tech. Dual Degree Course,B5234
IIT Bombay,Mechanical Engineering with M.Tech. in Computer Integrated Manufacturing ,Five-year B.Tech. and M.Tech. Dual Degree Course,B5235
IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites,Five-year B.Tech. and M.Tech. Dual Degree Course,B5244
IIT Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Metallurgical Process Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,B5245
IIT Bombay,Chemistry,Five-year Integrated M.Sc. Course,B5503
IIT Delhi,Chemical Engineering,Four-year B.Tech. Course,D4107
IIT Delhi,Civil Engineering,Four-year B.Tech. Course,D4109
IIT Delhi,Computer Science and Engineering,Four-year B.Tech. Course,D4110
IIT Delhi,Electrical Engineering,Four-year B.Tech. Course,D4111
IIT Delhi,Electrical Engineering (Power),Four-year B.Tech. Course,D4112
IIT Delhi,Engineering Physics,Four-year B.Tech. Course,D4117
IIT Delhi,Mechanical Engineering,Four-year B.Tech. Course,D4125
IIT Delhi,Production and Industrial Engineering,Four-year B.Tech. Course,D4136
IIT Delhi,Textile Technology,Four-year B.Tech. Course,D4139
IIT Delhi,Biochemical Engineering and Biotechnology,Five-year B.Tech. and M.Tech. Dual Degree Course,D5205
IIT Delhi,Chemical Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,D5210
IIT Delhi,Computer Science and Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,D5216
IIT Delhi,Electrical Engineering with M.Tech. in Information and Communication Technology,Five-year B.Tech. and M.Tech. Dual Degree Course,D5220
IIT Delhi,Mathematics and Computing,Five-year Integrated M.Tech. Course,D5305
IIT Gandhinagar,Chemical Engineering,Four-year B.Tech. Course,N4107
IIT Gandhinagar,Electrical Engineering,Four-year B.Tech. Course,N4111
IIT Gandhinagar,Mechanical Engineering,Four-year B.Tech. Course,N4125
IIT Guwahati,Biotechnology,Four-year B.Tech. Course,W4104
IIT Guwahati,Chemical Engineering,Four-year B.Tech. Course,W4107
IIT Guwahati,Chemical Science and Technology,Four-year B.Tech. Course,W4108
IIT Guwahati,Civil Engineering,Four-year B.Tech. Course,W4109
IIT Guwahati,Computer Science and Engineering,Four-year B.Tech. Course,W4110
IIT Guwahati,Electronics and Communication Engineering,Four-year B.Tech. Course,W4114
IIT Guwahati,Electronics and Electrical Engineering,Four-year B.Tech. Course,W4116
IIT Guwahati,Engineering Physics,Four-year B.Tech. Course,W4117
IIT Guwahati,Mathematics and Computing,Four-year B.Tech. Course,W4124
IIT Guwahati,Mechanical Engineering,Four-year B.Tech. Course,W4125
IIT Guwahati,Design,Four-year B.Des. Course,W4401
IIT Hyderabad,Chemical Engineering,Four-year B.Tech. Course,H4107
IIT Hyderabad,Civil Engineering,Four-year B.Tech. Course,H4109
IIT Hyderabad,Computer Science and Engineering,Four-year B.Tech. Course,H4110
IIT Hyderabad,Electrical Engineering,Four-year B.Tech. Course,H4111
IIT Hyderabad,Engineering Science ,Four-year B.Tech. Course,H4118
IIT Hyderabad,Mechanical Engineering,Four-year B.Tech. Course,H4125
IIT Indore,Computer Science and Engineering,Four-year B.Tech. Course,E4110
IIT Indore,Electrical Engineering,Four-year B.Tech. Course,E4111
IIT Indore,Mechanical Engineering,Four-year B.Tech. Course,E4125
IIT Kanpur,Aerospace Engineering,Four-year B.Tech. Course,K4101
IIT Kanpur,Biological Sciences and Bioengineering,Four-year B.Tech. Course,K4103
IIT Kanpur,Chemical Engineering,Four-year B.Tech. Course,K4107
IIT Kanpur,Civil Engineering,Four-year B.Tech. Course,K4109
IIT Kanpur,Computer Science and Engineering,Four-year B.Tech. Course,K4110
IIT Kanpur,Electrical Engineering,Four-year B.Tech. Course,K4111
IIT Kanpur,Materials Science and Engineering,Four-year B.Tech. Course,K4123
IIT Kanpur,Mechanical Engineering,Four-year B.Tech. Course,K4125
IIT Kanpur,Chemistry,Four-year B.S. course,K4201
IIT Kanpur,Economics,Four-year B.S. course,K4202
IIT Kanpur,Mathematics and Scientific Computing,Four-year B.S. course,K4203
IIT Kanpur,Physics,Four-year B.S. course,K4204
IIT Kharagpur,Aerospace Engineering,Four-year B.Tech. Course,G4101
IIT Kharagpur,Agricultural and Food Engineering,Four-year B.Tech. Course,G4102
IIT Kharagpur,Biotechnology and Biochemical Engineering,Four-year B.Tech. Course,G4105
IIT Kharagpur,Chemical Engineering,Four-year B.Tech. Course,G4107
IIT Kharagpur,Civil Engineering,Four-year B.Tech. Course,G4109
IIT Kharagpur,Computer Science and Engineering,Four-year B.Tech. Course,G4110
IIT Kharagpur,Electrical Engineering,Four-year B.Tech. Course,G4111
IIT Kharagpur,Electronics and Electrical Communication Engineering,Four-year B.Tech. Course,G4115
IIT Kharagpur,Industrial Engineering,Four-year B.Tech. Course,G4120
IIT Kharagpur,Instrumentation Engineering,Four-year B.Tech. Course,G4121
IIT Kharagpur,Manufacturing Science and Engineering,Four-year B.Tech. Course,G4122
IIT Kharagpur,Mechanical Engineering,Four-year B.Tech. Course,G4125
IIT Kharagpur,Metallurgical and Materials Engineering,Four-year B.Tech. Course,G4127
IIT Kharagpur,Mining Engineering,Four-year B.Tech. Course,G4130
IIT Kharagpur,Ocean Engineering and Naval Architecture,Four-year B.Tech. Course,G4133
IIT Kharagpur,Architecture,Five-year B.Arch. course ,G5101
IIT Kharagpur,Aerospace Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5201
IIT Kharagpur,Agricultural and Food Engineering with M.Tech. in any of the listed specializations,Five-year B.Tech. and M.Tech. Dual Degree Course,G5203
IIT Kharagpur,Biotechnology and Biochemical Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5208
IIT Kharagpur,Chemical Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5210
IIT Kharagpur,Civil Engineering with any of the listed specialization,Five-year B.Tech. and M.Tech. Dual Degree Course,G5215
IIT Kharagpur,Computer Science and Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5216
IIT Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,Five-year B.Tech. and M.Tech. Dual Degree Course,G5222
IIT Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,Five-year B.Tech. and M.Tech. Dual Degree Course,G5225
IIT Kharagpur,Industrial Engineering with M.Tech. in Industrial Engineering and Management,Five-year B.Tech. and M.Tech. Dual Degree Course,G5230
IIT Kharagpur,Manufacturing Science and Engineering with M.Tech. in Industrial Engineering and Management,Five-year B.Tech. and M.Tech. Dual Degree Course,G5231
IIT Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,Five-year B.Tech. and M.Tech. Dual Degree Course,G5239
IIT Kharagpur,Metallurgical and Materials Engineering with M.Tech. in Metallurgical and Materials Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5243
IIT Kharagpur,Mining Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5247
IIT Kharagpur,Mine Safety Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,G5248
IIT Kharagpur,Ocean Engineering and Naval Architecture,Five-year B.Tech. and M.Tech. Dual Degree Course,G5251
IIT Kharagpur,Quality Engineering Design and Manufacturing ,Five-year B.Tech. and M.Tech. Dual Degree Course,G5253
IIT Kharagpur,Applied Geology,Five-year Integrated M.Sc. Course,G5501
IIT Kharagpur,Chemistry,Five-year Integrated M.Sc. Course,G5503
IIT Kharagpur,Economics,Five-year Integrated M.Sc. Course,G5504
IIT Kharagpur,Exploration Geophysics,Five-year Integrated M.Sc. Course,G5505
IIT Kharagpur,Mathematics and Computing,Five-year Integrated M.Sc. Course,G5506
IIT Kharagpur,Physics,Five-year Integrated M.Sc. Course,G5507
IIT Madras,Aerospace Engineering,Four-year B.Tech. Course,M4101
IIT Madras,Chemical Engineering,Four-year B.Tech. Course,M4107
IIT Madras,Civil Engineering,Four-year B.Tech. Course,M4109
IIT Madras,Computer Science and Engineering,Four-year B.Tech. Course,M4110
IIT Madras,Electrical Engineering,Four-year B.Tech. Course,M4111
IIT Madras,Engineering Physics,Four-year B.Tech. Course,M4117
IIT Madras,Mechanical Engineering,Four-year B.Tech. Course,M4125
IIT Madras,Metallurgical and Materials Engineering,Four-year B.Tech. Course,M4127
IIT Madras,Naval Architecture and Ocean Engineering,Four-year B.Tech. Course,M4132
IIT Madras,Aerospace Engineering,Five-year B.Tech. and M.Tech. Dual Degree Course,M5201
